ID Przepisu,Typ Zmiany,Stara Wartość,Nowa Wartość
10,Jednostka,servings (płatki czerwonej papryki),porcje
10,Jednostka,servings (sól i pieprz),porcje
11,Jednostka,clove (czosnek),ząbek
11,Jednostka,servings (oliwa z oliwek),porcje
11,Jednostka,servings (sól i pieprz),porcje
12,Jednostka,Tbsps (oliwa z oliwek),łyżki
12,Jednostka,tsps (sól i pieprz),łyżeczki
13,Jednostka,pinch (płatków chili),szczypta
13,Jednostka,cloves (czosnek),ząbki
13,Jednostka,servings (oliwa z oliwek),porcje
13,Jednostka,servings (sól),porcje
13,Jednostka,tsps (kurkuma w proszku),łyżeczki
14,Jednostka,tsps (skórka cytrynowa),łyżeczki
14,Jednostka,Tbsps (wyciśnięty sok z cytryny),łyżki
14,Jednostka,tsp (cukier),łyżeczka
14,Jednostka,tsps (musztarda dijon),łyżeczki
14,Jednostka,tsps (sól koszerna),łyżeczki
14,Jednostka,servings (pieprz),porcje
14,Jednostka,Tbsps (oliwa z oliwek),łyżki
14,Jednostka,Tbsps (rodzynki),łyżki
14,Jednostka,can (fasola garbanzo),puszka
15,Jednostka,cloves (czosnek),ząbki
15,Jednostka,tsps (sól),łyżeczki
15,Jednostka,tsps (pieprz),łyżeczki
15,Jednostka,tsps (kurkuma),łyżeczki
15,Jednostka,tsps (curry),łyżeczki
16,Jednostka,tsp (kminek),łyżeczka
16,Jednostka,servings (pietruszka),porcje
16,Jednostka,Tbsp (sok z cytryny),łyżka
16,Jednostka,servings (oliwa z oliwek),porcje
16,Jednostka,servings (papryka),porcje
16,Jednostka,servings (sól),porcje
17,Jednostka,handfuls (szpinak),garście
17,Jednostka,clove (czosnek),ząbek
17,Jednostka,Tbsp (sok z cytryny),łyżka
17,Jednostka,Tbsp (tahini),łyżka
17,Jednostka,Tbsp (oliwa z oliwek),łyżka
17,Jednostka,Tbsps (woda),łyżki
17,Jednostka,tsps (mielony kminek),łyżeczki
17,Jednostka,Tbsps (harissa),łyżki
18,Jednostka,Tbsp (nasiona sezamu),łyżka
18,Jednostka,Tbsp (stalówki kakaowe),łyżka
18,Jednostka,Tbsps (nasiona chia),łyżki
18,Jednostka,Tbsp (jagody goji),łyżka
18,Jednostka,tsps (proszek lucuma),łyżeczki
18,Jednostka,Tbsp (pestki dyni),łyżka
19,Jednostka,tsps (pieprz),łyżeczki
19,Jednostka,Tbsp (oliwa z oliwek z pierwszego tłoczenia),łyżka
19,Jednostka,tsps (czosnek),łyżeczki
19,Jednostka,Tbsps (łagodne miso),łyżki
19,Jednostka,tsp (sól),łyżeczka
19,Jednostka,tsp (do 2 estragonu),łyżeczka
20,Jednostka,cloves (czosnek),ząbki
20,Jednostka,Tbsps (woda),łyżki
20,Jednostka,tsps (sól morska),łyżeczki
21,Jednostka,tsp (sól),łyżeczka
21,Jednostka,Tbsps (oliwa z oliwek),łyżki
21,Jednostka,Tbsps (posiekane migdały),łyżki
21,Jednostka,Tbsps (posiekane pistacje),łyżki
21,Jednostka,sprigs (mennica),gałązki
22,Jednostka,heads (brokuł),główki
22,Jednostka,large cloves (czosnek),duże ząbki
22,Jednostka,tsps (węgierska papryka),łyżeczki
22,Jednostka,tsps (papryka),łyżeczki
22,Jednostka,tsp (sól),łyżeczka
22,Jednostka,Tbsp (ocet sherry),łyżka
24,Jednostka,Tbsps (miód),łyżki
24,Jednostka,Tbsp (sos sriracha),łyżka
24,Jednostka,Tbsps (sok z limonki),łyżki
24,Jednostka,Tbsps (oliwa z oliwek),łyżki
24,Jednostka,servings (sól i pieprz),porcje
25,Jednostka,Tbsps (oliwa z oliwek),łyżki
25,Jednostka,servings (sól i pieprz),porcje
26,Jednostka,handful (rukola),garść
27,Jednostka,Tbsps (żurawina),łyżki
27,Jednostka,Tbsp (orzechy włoskie),łyżka
28,Jednostka,tsps (papryka ostra),łyżeczki
28,Jednostka,Tbsp (sos sojowy),łyżka
28,Jednostka,Tbsp (cukier),łyżka
28,Jednostka,tsps (ocet destylowany),łyżeczki
29,Jednostka,slice (chleb zbożowy),plasterek
29,Jednostka,Tbsp (ocet),łyżka
29,Jednostka,servings (oliwa z oliwek),porcje
29,Jednostka,cloves (czosnek),ząbki
29,Jednostka,pinch (płatki chilli),szczypta
29,Jednostka,bunch (liście szpinaku),pęczek
29,Jednostka,servings (sól i pieprz),porcje
30,Jednostka,pinch (proszek do pieczenia),szczypta
30,Jednostka,tsps (proszek kardamonu),łyżeczki
30,Jednostka,tsps (proszek cynamonowy),łyżeczki
30,Jednostka,tsp (proszek kolendry),łyżeczka
30,Jednostka,tsp (kminek w proszku),łyżeczka
30,Jednostka,Tbsp (ożywić),łyżka
30,Jednostka,tsps (mielony koper włoski),łyżeczki
30,Jednostka,servings (sól),porcje
30,Jednostka,Tbsps (olej słonecznikowy),łyżki
30,Jednostka,tsps (kurkuma),łyżeczki
31,Jednostka,servings (sól),porcje
31,Jednostka,Tbsp (oliwa z oliwek),łyżka
31,Jednostka,Tbsp (sok z cytryny),łyżka
32,Składnik,asparagus,szparagi
32,Jednostka,pinch (sól morska i świeżo mielony pieprz),szczypta
33,Jednostka,bottle (sos ze skrzydełek bawolego),butelka
33,Jednostka,tsp (curry w proszku),łyżeczka
33,Jednostka,tsp (proszek czosnkowy),łyżeczka
33,Jednostka,Tbsps (drożdże odżywcze),łyżki
33,Jednostka,tsp (proszek cebulowy),łyżeczka
34,Jednostka,tsp (olej),łyżeczka
34,Jednostka,servings (kolendra),porcje
34,Jednostka,tsp (kminek),łyżeczka
34,Jednostka,servings (sól i pieprz),porcje
34,Jednostka,tsps (miód),łyżeczki
35,Jednostka,tsps (chili w proszku),łyżeczki
35,Jednostka,Tbsps (ser cheddar o obniżonej zawartości tłuszczu),łyżki
35,Jednostka,serving (sól),porcja
36,Składnik,asparagus,szparagi
36,Jednostka,bag (asparagus),opakowanie
36,Składnik,ewoo,oliwa z oliwek extra virgin
36,Jednostka,Tbsp (ewoo),łyżka
36,Jednostka,cloves (czosnek),ząbki
36,Jednostka,box (bulion warzywny),pudełko
37,Jednostka,Tbsps (ocet balsamiczny),łyżki
37,Jednostka,clove (czosnek),ząbek
37,Jednostka,bunch (jarmuż),pęczek
37,Jednostka,servings (oliwa z oliwek),porcje
38,Jednostka,stalks (seler),łodygi
38,Jednostka,tsp (nasiona selera),łyżeczka
38,Jednostka,tsp (majeranek),łyżeczka
38,Jednostka,tsps (tymianek),łyżeczki
38,Jednostka,cloves (czosnek),ząbki
38,Jednostka,handfuls (zielona fasola),garście
38,Jednostka,servings (mielony pieprz),porcje
38,Jednostka,tsps (mielona szałwia),łyżeczki
38,Jednostka,tsps (płynny dym),łyżeczki
38,Jednostka,Tbsps (oliwa z oliwek),łyżki
38,Jednostka,tsps (sól morska),łyżeczki
38,Jednostka,tsp (sriracha),łyżeczka
39,Jednostka,Tbsps (olej z pestek winogron),łyżki
39,Jednostka,Tbsps (olej kokosowy),łyżki
39,Jednostka,cloves (czosnek),ząbki
39,Jednostka,head (kalafior),główka
39,Jednostka,Tbsps (sos sojowy),łyżki
39,Jednostka,tsps (olej sezamowy),łyżeczki
39,Jednostka,servings (nasiona sezamu),porcje
39,Jednostka,servings (dodatkowe wierzchołki cebuli),porcje
39,Jednostka,servings (sól),porcje
40,Jednostka,tsps (suszony tymianek),łyżeczki
40,Jednostka,tsps (mielony kminek),łyżeczki
40,Jednostka,Tbsps (miód),łyżki
40,Jednostka,Tbsps (oliwa z oliwek),łyżki
40,Jednostka,tsps (czerwony ocet winny),łyżeczki
40,Jednostka,servings (sól morska),porcje
40,Jednostka,tsps (kurkuma),łyżeczki
41,Jednostka,tsps (chili w proszku),łyżeczki
41,Jednostka,tsps (kminek),łyżeczki
41,Jednostka,tsps (mielony pieprz),łyżeczki
41,Jednostka,dashes (opcjonalnie: ostry sos),szczypty
41,Jednostka,tsp (oliwa z oliwek),łyżeczka
41,Jednostka,Tbsps (woda),łyżki
42,Jednostka,Tbsp (rozmaryn),łyżka
42,Jednostka,cloves (czosnek),ząbki
42,Jednostka,tsp (oliwa z oliwek),łyżeczka
42,Jednostka,servings (sól),porcje
42,Jednostka,Tbsps (woda),łyżki
43,Jednostka,tsps (pieprz),łyżeczki
43,Jednostka,tsp (musztarda dijon),łyżeczka
43,Jednostka,tsps (miód),łyżeczki
43,Jednostka,Tbsps (oliwa z oliwek),łyżki
43,Jednostka,Tbsps (czerwony ocet winny),łyżki
44,Jednostka,bunch (brokuły),pęczek
44,Jednostka,Tbsp (oliwa z oliwek),łyżka
45,Składnik,asparagus,szparagi
45,Jednostka,bunch (asparagus),pęczek
45,Jednostka,Tbsp (tymianek),łyżka
45,Jednostka,cloves (czosnek),ząbki
45,Jednostka,Tbsps (oliwa z oliwek),łyżki
45,Jednostka,servings (sól i pieprz),porcje
45,Jednostka,Tbsps (ocet sherry),łyżki
46,Jednostka,head (czosnek),główka
46,Jednostka,tsp (sól koszerna),łyżeczka
46,Jednostka,tsp (liście rozmarynu),łyżeczka
46,Jednostka,bunch (jarmuż dinozaura),pęczek
47,Jednostka,Tbsps (oliwa z oliwek),łyżki
47,Jednostka,cloves (czosnek),ząbki
47,Jednostka,tsps (sól),łyżeczki
47,Jednostka,bunch (pietruszka),pęczek
48,Jednostka,Tbsps (oliwa z oliwek),łyżki
48,Jednostka,cloves (czosnek),ząbki
48,Jednostka,pinch (sól),szczypta
48,Jednostka,sprig (bazylia),gałązka
48,Jednostka,Tbsps (pikantny sos orzechowy trader joe's),łyżki
49,Jednostka,tsp (ocet balsamiczny),łyżeczka
49,Jednostka,tsp (kminek),łyżeczka
49,Jednostka,clove (czosnek),ząbek
50,Jednostka,Tbsps (szczypiorek),łyżki
50,Jednostka,serving (sól i pieprz),porcja
51,Jednostka,tsps (curry w proszku),łyżeczki
51,Jednostka,tsps (garam masala),łyżeczki
51,Jednostka,tsps (mielona kolendra),łyżeczki
51,Jednostka,tsps (mielony kminek),łyżeczki
51,Jednostka,tsps (mielona musztarda w proszku),łyżeczki
51,Jednostka,tsps (oliwa z oliwek),łyżeczki
51,Jednostka,tsp (sól morska),łyżeczka
51,Jednostka,bunch (boćwina szwajcarska),pęczek
51,Jednostka,Tbsps (woda),łyżki
52,Jednostka,can (ciecierzyca),puszka
52,Jednostka,servings (kolendra),porcje
52,Jednostka,tsps (mielony cynamon),łyżeczki
52,Jednostka,tsps (mielony kminek),łyżeczki
52,Jednostka,tsps (mielona kurkuma),łyżeczki
52,Jednostka,Tbsp (sok z cytryny),łyżka
52,Jednostka,tsps (oliwa z oliwek),łyżeczki
52,Jednostka,tsps (papryka),łyżeczki
52,Jednostka,servings (sól i pieprz),porcje
52,Jednostka,Tbsps (pasta pomidorowa),łyżki
53,Jednostka,Tbsps (mennica),łyżki
53,Jednostka,Tbsp (miód),łyżka
53,Jednostka,Tbsps (sok z limonki),łyżki
53,Jednostka,tsps (skórka z limonki),łyżeczki
53,Jednostka,servings (papryka),porcje
53,Jednostka,servings (sól),porcje
53,Jednostka,Tbsp (krem),łyżka
54,Jednostka,tsp (pieprz),łyżeczka
54,Jednostka,tsps (cayenne),łyżeczki
54,Jednostka,tsps (cynamon),łyżeczki
54,Jednostka,tsps (mielony imbir),łyżeczki
54,Jednostka,tsps (mielona gałka muszkatołowa),łyżeczki
54,Jednostka,servings (oliwa z oliwek),porcje
54,Jednostka,servings (sól),porcje
54,Jednostka,tsps (kurkuma),łyżeczki
55,Jednostka,tsps (oliwa z oliwek z pierwszego tłoczenia),łyżeczki
55,Jednostka,clove (czosnek),ząbek
55,Jednostka,tsps (mielony pieprz),łyżeczki
55,Jednostka,tsps (sok z cytryny),łyżeczki
55,Jednostka,tsps (sól),łyżeczki
56,Jednostka,pinch (asafetyda),szczypta
56,Jednostka,tsps (cayenne),łyżeczki
56,Jednostka,inch (ożywić),cm
56,Jednostka,cloves (czosnek),ząbki
56,Jednostka,tsps (mielona kolendra),łyżeczki
56,Jednostka,tsps (mielony kminek),łyżeczki
56,Jednostka,servings (mielony pieprz),porcje
56,Jednostka,Tbsps (oliwa z oliwek),łyżki
56,Jednostka,tsp (sól morska),łyżeczka
56,Jednostka,tsp (kurkuma),łyżeczka
57,Jednostka,Tbsp (migdały),łyżka
57,Jednostka,cloves (czosnek),ząbki
57,Jednostka,servings (sól i pieprz),porcje
58,Jednostka,servings (warzywa),porcje
59,Jednostka,tsps (braggs płynne aminokwasy),łyżeczki
59,Jednostka,tsps (curry w proszku),łyżeczki
59,Jednostka,tsps (proszek imbirowy),łyżeczki
59,Jednostka,tsps (tryskać sriracha),łyżeczki
60,Jednostka,servings (oliwa z oliwek z dodatkiem bazylii),porcje
60,Jednostka,servings (papryka),porcje
60,Jednostka,pkt (dynia),opakowanie
60,Jednostka,servings (liście rakiety),porcje
60,Jednostka,servings (sól ziołowa),porcje
61,Jednostka,tsps (proszek z nasion kminku),łyżeczki
61,Jednostka,bunch (kolendra),pęczek
61,Jednostka,tsps (mielona kolendra),łyżeczki
61,Jednostka,tsp (oliwa z oliwek),łyżeczka
61,Jednostka,tsps (nasiona słonecznika),łyżeczki
62,Jednostka,servings (tęczowe pomidorki koktajlowe),porcje
62,Jednostka,servings (sól i pieprz),porcje
63,Jednostka,clove (czosnek),ząbek
63,Jednostka,tsp (oliwa z oliwek),łyżeczka
63,Jednostka,tsps (mielony kminek),łyżeczki
63,Jednostka,servings (rzeżucha ogrodowa),porcje
63,Jednostka,head (czosnek pieczony),główka
63,Jednostka,Tbsps (tahini),łyżki
63,Jednostka,Tbsps (woda),łyżki
63,Jednostka,tsps (sól koszerna),łyżeczki
64,Jednostka,Tbsps (chili chipotle),łyżki
64,Jednostka,Tbsps (mielony kminek),łyżki
64,Jednostka,bunch (kapusta włoska),pęczek
64,Jednostka,Tbsps (oliwa z oliwek),łyżki
64,Jednostka,servings (sól i pieprz),porcje
65,Jednostka,Tbsps (przyprawiona bułka tarta),łyżki
66,Jednostka,Tbsp (oliwa z oliwek),łyżka
66,Jednostka,Tbsps (papryka),łyżki
66,Jednostka,Tbsps (bazylia),łyżki
66,Jednostka,servings (sól i pieprz),porcje
67,Jednostka,servings (sól i pieprz),porcje
68,Jednostka,can (groszek czarnooki),puszka
68,Jednostka,servings (kapusta włoska),porcje
68,Jednostka,servings (komosa ryżowa),porcje
68,Jednostka,servings (gałka muszkatołowa),porcje
68,Jednostka,Tbsps (oliwa z oliwek),łyżki
68,Jednostka,servings (sól i pieprz),porcje
69,Jednostka,Tbsp (mleko w proszku),łyżka
69,Jednostka,tsps (sól),łyżeczki
69,Jednostka,tsp (drożdże),łyżeczka
70,Jednostka,bunch (kolendra),pęczek
70,Jednostka,clove (czosnek),ząbek
70,Jednostka,servings (papryka),porcje
70,Jednostka,servings (sól),porcje
71,Składnik,asparagus,szparagi
71,Jednostka,bag (asparagus),opakowanie
71,Składnik,ewoo,oliwa z oliwek extra virgin
71,Jednostka,Tbsp (ewoo),łyżka
71,Jednostka,cloves (czosnek),ząbki
71,Jednostka,box (bulion warzywny),pudełko
72,Jednostka,Tbsps (olej z pestek winogron),łyżki
72,Jednostka,Tbsps (olej kokosowy),łyżki
72,Jednostka,cloves (czosnek),ząbki
72,Jednostka,head (kalafior),główka
72,Jednostka,Tbsps (sos sojowy),łyżki
72,Jednostka,tsps (olej sezamowy),łyżeczki
72,Jednostka,servings (nasiona sezamu),porcje
72,Jednostka,servings (dodatkowe wierzchołki cebuli),porcje
72,Jednostka,servings (sól),porcje
73,Jednostka,tsps (pieprz),łyżeczki
73,Jednostka,tsp (musztarda dijon),łyżeczka
73,Jednostka,tsps (miód),łyżeczki
73,Jednostka,Tbsps (oliwa z oliwek),łyżki
73,Jednostka,Tbsps (czerwony ocet winny),łyżki
74,Jednostka,Tbsps (naturalne masło migdałowe),łyżki
74,Jednostka,tsps (nasiona chia),łyżeczki
74,Jednostka,Tbsp (herbata matcha w proszku),łyżka
74,Jednostka,tsps (ekstrakt waniliowy),łyżeczki
75,Jednostka,bunch (brokuły),pęczek
75,Jednostka,Tbsp (oliwa z oliwek),łyżka
76,Jednostka,tsp (ocet balsamiczny),łyżeczka
76,Jednostka,tsp (kminek),łyżeczka
76,Jednostka,clove (czosnek),ząbek
77,Jednostka,tsps (pieprz),łyżeczki
77,Jednostka,tsps (chili w proszku),łyżeczki
77,Jednostka,tsps (kminek),łyżeczki
77,Jednostka,Tbsps (kolendra),łyżki
77,Jednostka,servings (wierzchołki zielonej cebuli),porcje
77,Jednostka,servings (sól),porcje
77,Jednostka,tsps (pieprz),łyżeczki
78,Jednostka,can (ciecierzyca),puszka
78,Jednostka,servings (kolendra),porcje
78,Jednostka,tsps (mielony cynamon),łyżeczki
78,Jednostka,tsps (mielony kminek),łyżeczki
78,Jednostka,tsps (mielona kurkuma),łyżeczki
78,Jednostka,Tbsp (sok z cytryny),łyżka
78,Jednostka,tsps (oliwa z oliwek),łyżeczki
78,Jednostka,tsps (papryka),łyżeczki
78,Jednostka,servings (sól i pieprz),porcje
78,Jednostka,Tbsps (pasta pomidorowa),łyżki
79,Jednostka,servings (ryż),porcje
79,Jednostka,tsp (bazylia),łyżeczka
79,Jednostka,Tbsps (oliwa z oliwek),łyżki
79,Jednostka,tsp (oregano),łyżeczka
79,Jednostka,servings (pieprz),porcje
79,Jednostka,servings (sól i pieprz),porcje
80,Jednostka,tsps (proszek z nasion kminku),łyżeczki
80,Jednostka,bunch (kolendra),pęczek
80,Jednostka,tsps (mielona kolendra),łyżeczki
80,Jednostka,tsp (oliwa z oliwek),łyżeczka
80,Jednostka,tsps (nasiona słonecznika),łyżeczki
81,Jednostka,servings (tęczowe pomidorki koktajlowe),porcje
81,Jednostka,servings (sól i pieprz),porcje
82,Jednostka,servings (papryka),porcje
82,Jednostka,tsps (cayenne),łyżeczki
82,Jednostka,tsps (chili w proszku),łyżeczki
82,Jednostka,tsps (kminek),łyżeczki
82,Jednostka,servings (wierzchołki zielonej cebuli),porcje
83,Jednostka,Tbsps (majonez),łyżki
83,Jednostka,servings (sól i pieprz),porcje
83,Jednostka,handfuls (rukiew wodna),garście
84,Jednostka,can (groszek czarnooki),puszka
84,Jednostka,servings (kapusta włoska),porcje
84,Jednostka,servings (komosa ryżowa),porcje
84,Jednostka,servings (gałka muszkatołowa),porcje
84,Jednostka,Tbsps (oliwa z oliwek),łyżki
84,Jednostka,servings (sól i pieprz),porcje
85,Jednostka,cloves (czosnek),ząbki
85,Jednostka,Tbsps (sok z cytryny),łyżki
85,Jednostka,Tbsps (ocet ryżowy),łyżki
85,Jednostka,tsps (musztarda dijon),łyżeczki
85,Jednostka,servings (płatki czerwonej papryki),porcje
85,Jednostka,servings (sól i pieprz),porcje
86,Jednostka,servings (dodatkowe dodatki: awokado),porcje
86,Jednostka,cloves (czosnek),ząbki
86,Jednostka,Tbsps (oliwa z oliwek),łyżki
86,Jednostka,servings (sól i pieprz),porcje
87,Składnik,asparagus,szparagi
87,Jednostka,bag (asparagus),opakowanie
87,Składnik,ewoo,oliwa z oliwek extra virgin
87,Jednostka,Tbsp (ewoo),łyżka
87,Jednostka,cloves (czosnek),ząbki
87,Jednostka,box (bulion warzywny),pudełko
88,Jednostka,Tbsps (ocet balsamiczny),łyżki
88,Jednostka,clove (czosnek),ząbek
88,Jednostka,bunch (jarmuż),pęczek
88,Jednostka,servings (oliwa z oliwek),porcje
89,Jednostka,stalks (seler),łodygi
90,Jednostka,stalks (seler),łodygi
90,Jednostka,tsp (nasiona selera),łyżeczka
90,Jednostka,tsp (majeranek),łyżeczka
90,Jednostka,tsps (tymianek),łyżeczki
90,Jednostka,cloves (czosnek),ząbki
90,Jednostka,handfuls (zielona fasola),garście
90,Jednostka,servings (mielony pieprz),porcje
90,Jednostka,tsps (mielona szałwia),łyżeczki
90,Jednostka,tsps (płynny dym),łyżeczki
90,Jednostka,Tbsps (oliwa z oliwek),łyżki
90,Jednostka,tsps (sól morska),łyżeczki
90,Jednostka,tsp (sriracha),łyżeczka
91,Jednostka,Tbsps (olej z pestek winogron),łyżki
91,Jednostka,Tbsps (olej kokosowy),łyżki
91,Jednostka,cloves (czosnek),ząbki
91,Jednostka,head (kalafior),główka
91,Jednostka,Tbsps (sos sojowy),łyżki
91,Jednostka,tsps (olej sezamowy),łyżeczki
91,Jednostka,servings (nasiona sezamu),porcje
91,Jednostka,servings (dodatkowe wierzchołki cebuli),porcje
91,Jednostka,servings (sól),porcje
92,Jednostka,tsps (suszony tymianek),łyżeczki
92,Jednostka,tsps (mielony kminek),łyżeczki
92,Jednostka,Tbsps (miód),łyżki
92,Jednostka,Tbsps (oliwa z oliwek),łyżki
92,Jednostka,tsps (czerwony ocet winny),łyżeczki
92,Jednostka,servings (sól morska),porcje
92,Jednostka,tsps (kurkuma),łyżeczki
93,Jednostka,tsps (chili w proszku),łyżeczki
93,Jednostka,tsps (kminek),łyżeczki
93,Jednostka,tsps (mielony pieprz),łyżeczki
93,Jednostka,dashes (opcjonalnie: ostry sos),szczypty
93,Jednostka,tsp (oliwa z oliwek),łyżeczka
93,Jednostka,Tbsps (woda),łyżki
94,Jednostka,Tbsp (rozmaryn),łyżka
94,Jednostka,cloves (czosnek),ząbki
94,Jednostka,tsp (oliwa z oliwek),łyżeczka
94,Jednostka,servings (sól),porcje
94,Jednostka,Tbsps (woda),łyżki
95,Jednostka,tsps (pieprz),łyżeczki
95,Jednostka,tsp (musztarda dijon),łyżeczka
95,Jednostka,tsps (miód),łyżeczki
95,Jednostka,Tbsps (oliwa z oliwek),łyżki
95,Jednostka,Tbsps (czerwony ocet winny),łyżki
96,Jednostka,tsps (cynamon),łyżeczki
96,Jednostka,Tbsp (kminek),łyżka
96,Jednostka,tsps (mielony pieprz),łyżeczki
96,Jednostka,tsps (sól),łyżeczki
97,Jednostka,Tbsps (naturalne masło migdałowe),łyżki
97,Jednostka,tsps (nasiona chia),łyżeczki
97,Jednostka,Tbsp (herbata matcha w proszku),łyżka
97,Jednostka,tsps (ekstrakt waniliowy),łyżeczki
98,Jednostka,bunch (brokuły),pęczek
98,Jednostka,Tbsp (oliwa z oliwek),łyżka
99,Jednostka,clove (czosnek),ząbek
99,Jednostka,Tbsps (sok z limonki),łyżki
99,Jednostka,servings (papryka),porcje
99,Jednostka,Tbsp (cukier),łyżka
99,Jednostka,servings (nuoc cham),porcje
99,Jednostka,servings (nuoc cham),porcje
100,Składnik,asparagus,szparagi
100,Jednostka,bunch (asparagus),pęczek
100,Jednostka,Tbsp (tymianek),łyżka
100,Jednostka,cloves (czosnek),ząbki
100,Jednostka,Tbsps (oliwa z oliwek),łyżki
100,Jednostka,servings (sól i pieprz),porcje
100,Jednostka,Tbsps (ocet sherry),łyżki
101,Jednostka,servings (sól i pieprz),porcje
102,Jednostka,Tbsps (migdały),łyżki
102,Jednostka,Tbsps (ocet balsamiczny z granatów),łyżki
102,Jednostka,Tbsps (musztarda dijon),łyżki
102,Jednostka,tsp (miód),łyżeczka
102,Jednostka,Tbsp (oliwa z oliwek),łyżka
102,Jednostka,servings (sól i pieprz),porcje
103,Jednostka,servings (mennica),porcje
103,Jednostka,Tbsps (miód),łyżki
104,Jednostka,tsps (skórka z limonki),łyżeczki
104,Jednostka,tsps (sok z limonki),łyżeczki
104,Jednostka,Tbsp (mennica),łyżka
105,Jednostka,cloves (czosnek),ząbki
105,Jednostka,servings (papryka),porcje
105,Jednostka,servings (sól),porcje
106,Jednostka,clove (czosnek),ząbek
106,Jednostka,pinch (sól),szczypta
107,Jednostka,tsp (odparowany cukier trzcinowy),łyżeczka
107,Jednostka,tsps (curry w proszku),łyżeczki
108,Jednostka,Tbsp (cukier granulowany),łyżka
108,Jednostka,tsp (mielony pieprz),łyżeczka
108,Jednostka,Tbsps (oliwa z oliwek),łyżki
108,Jednostka,head (sałata rzymska),główka
108,Jednostka,Tbsp (sól morska),łyżka
109,Jednostka,Tbsp (tahini),łyżka
109,Jednostka,Tbsps (sok z cytryny),łyżki
109,Jednostka,cloves (czosnek),ząbki
109,Jednostka,Tbsp (pietruszka),łyżka
109,Jednostka,tsp (sól),łyżeczka
110,Jednostka,Tbsps (bazylia),łyżki
110,Jednostka,Tbsps (oliwa z oliwek),łyżki
110,Jednostka,Tbsps (ocet balsamiczny),łyżki
110,Jednostka,servings (sól i pieprz),porcje
111,Jednostka,tsp (miód),łyżeczka
111,Jednostka,Dash (sól),szczypta
112,Jednostka,servings (sól),porcje
113,Jednostka,clove (czosnek),ząbek
113,Jednostka,slice (chleb),plasterek
113,Jednostka,Tbsps (oliwa z oliwek),łyżki
113,Jednostka,Tbsps (ocet),łyżki
113,Jednostka,servings (sól),porcje
114,Składnik,asparagus,szparagi
114,Jednostka,Tbsps (oliwa z oliwek),łyżki
114,Jednostka,tsps (sól koszerna),łyżeczki
114,Jednostka,tsps (świeżo mielony pieprz),łyżeczki
114,Jednostka,Tbsp (czosnek),łyżka
114,Jednostka,tsp (tymianek),łyżeczka
114,Jednostka,tsp (oregano),łyżeczka
114,Jednostka,tsps (skórka cytrynowa),łyżeczki
114,Jednostka,tsps (płatki pieprzu),łyżeczki
